id,name,category,css_code_snippet,js_required,performance_impact,best_with_aesthetics,description
scramble-reveal,Scramble Reveal,text,".scramble-text { font-variant-numeric: tabular-nums; }",true,low,"terminal-hacker,cyberpunk,y2k-retro,anti-design,neon-cyber","JS-driven text scramble effect where each character cycles through random characters before resolving to its final value. Implementation: on trigger, iterate each character index with a setInterval; each tick randomizes the char from a charset (a-z0-9!@#$%); after n ticks per position, lock to final char. Creates a decoding/hacking aesthetic."
split-color,Split Color Text,text,".split-color-wrap { position: relative; display: inline-block; } .split-color-wrap .text-top { position: absolute; top: 0; left: 0; clip-path: inset(0 0 50% 0); color: var(--color-top, #ff2d78); } .split-color-wrap .text-bot { color: var(--color-bottom, #00d4ff); }",false,low,"neo-brutalist,anti-design,y2k-retro,cyberpunk,art-deco","Dual-color horizontal split on a headline by layering two copies of the text and using clip-path to reveal only the top half of one and full view of the other. Creates a graphic two-tone effect popular in brutalist and retro design. No JS required; purely positional clipping."
glass-cards,Glass Card,card,".glass-card { background: rgba(255, 255, 255, 0.06); border: 1px solid rgba(255, 255, 255, 0.12); border-radius: 16px; backdrop-filter: blur(12px) saturate(180%); -webkit-backdrop-filter: blur(12px) saturate(180%); box-shadow: 0 8px 32px rgba(0, 0, 0, 0.3), inset 0 1px 0 rgba(255, 255, 255, 0.1); transition: transform 0.2s ease, box-shadow 0.2s ease; } .glass-card:hover { transform: translateY(-2px); box-shadow: 0 12px 40px rgba(0, 0, 0, 0.4), inset 0 1px 0 rgba(255, 255, 255, 0.15); }",false,medium,"blockchain-web3,neon-cyber,ai-ml-showcase,financial-fintech,midnight-aurora","Glassmorphism card using backdrop-filter blur and semi-transparent background. The inset top border creates a glass edge highlight. backdrop-filter requires a non-opaque background to be visible beneath. Hover state adds a subtle lift. Best on dark, gradient-rich backgrounds where the blur effect has texture to work with."
neumorphic-card,Neumorphic Card,card,".neumorphic-card { background: var(--bg-primary, #e8edf2); border-radius: 20px; box-shadow: 6px 6px 12px rgba(0, 0, 0, 0.15), -6px -6px 12px rgba(255, 255, 255, 0.7); padding: 1.5rem; transition: box-shadow 0.2s ease; } .neumorphic-card.pressed { box-shadow: inset 4px 4px 8px rgba(0, 0, 0, 0.15), inset -4px -4px 8px rgba(255, 255, 255, 0.7); }",false,low,"medical-healthcare,workshop-training,japandi-minimal,conservative-corporate,explainer-tutorial","Soft UI / neumorphic card using dual box shadows — dark shadow on bottom-right, light shadow on top-left — to create an extruded effect from the background. Requires the card background to exactly match the slide background. An inset variant simulates a pressed/active state."
clay-3d,Clay 3D Card,card,".clay-card { border-radius: 24px; background: var(--clay-color, #ffffff); box-shadow: 0 20px 60px rgba(0, 0, 0, 0.15), 0 6px 20px rgba(0, 0, 0, 0.1), inset 0 -4px 0 rgba(0, 0, 0, 0.1), inset 0 2px 4px rgba(255, 255, 255, 0.6); transform: translateZ(0); transition: transform 0.3s cubic-bezier(0.34, 1.56, 0.64, 1), box-shadow 0.3s ease; } .clay-card:hover { transform: translateY(-8px) scale(1.02); box-shadow: 0 30px 80px rgba(0, 0, 0, 0.2), 0 10px 30px rgba(0, 0, 0, 0.12), inset 0 -4px 0 rgba(0, 0, 0, 0.08), inset 0 2px 4px rgba(255, 255, 255, 0.7); }",false,low,"kids-playful,explainer-tutorial,saas-product,product-demo,startup-pitch","3D clay-style card using layered box shadows including a bottom inset shadow to simulate thickness, and a top inset highlight for the clay sheen. The hover state uses a spring-like cubic-bezier for a playful, physical bounce. Popular in modern product and consumer app presentations."
brutalist-shadow,Brutalist Shadow,card,".brutalist-card { border: 3px solid #0a0a0a; background: #ffffff; box-shadow: 6px 6px 0 #0a0a0a; transition: transform 0.1s ease, box-shadow 0.1s ease; cursor: pointer; } .brutalist-card:hover { transform: translate(3px, 3px); box-shadow: 3px 3px 0 #0a0a0a; } .brutalist-card:active { transform: translate(6px, 6px); box-shadow: 0 0 0 #0a0a0a; }",false,low,"neo-brutalist,anti-design,bauhaus,brutalist-red,y2k-retro","Hard offset box shadow with no blur radius — the defining brutalist card treatment. Solid black border matches the shadow color for a stacked paper effect. On hover, the card slides toward its shadow, simulating a press. On active, it fully depresses. No border-radius for raw, graphic geometry."
holographic-border,Holographic Border,card,".holo-card { position: relative; border-radius: 16px; background: var(--bg-secondary); padding: 1px; } .holo-card::before { content: ''; position: absolute; inset: -1px; border-radius: 17px; background: linear-gradient(135deg, #00ffcc, #ff00aa, #4361ee, #00d4ff, #ff2d78, #00ffcc); background-size: 300% 300%; animation: holoShift 4s linear infinite; z-index: -1; filter: blur(1px); } @keyframes holoShift { 0% { background-position: 0% 50%; } 100% { background-position: 300% 50%; } }",false,low,"blockchain-web3,holographic,vaporwave,y2k-retro,ai-ml-showcase","Animated rainbow gradient border using a pseudo-element slightly larger than the card with a wide linear-gradient animating its background-position. The card content sits on top on a solid background color. The filter blur softens the border slightly for a glowing holo effect."
fade-up,Fade Up,entrance,".fade-up { opacity: 0; transform: translateY(30px); transition: opacity 0.6s cubic-bezier(0.16, 1, 0.3, 1), transform 0.6s cubic-bezier(0.16, 1, 0.3, 1); } .fade-up.visible { opacity: 1; transform: translateY(0); }",true,low,"conservative-corporate,modern-corporate,investor-deck,medical-healthcare,academic-paper","The most universally applicable entrance animation. Element starts at 30px below and zero opacity, transitions to natural position with ease-out spring curve. Trigger by adding .visible class via IntersectionObserver or slide-enter event. Stagger multiple elements by adding transition-delay increments (0.1s per item)."
scale-in,Scale In,entrance,".scale-in { opacity: 0; transform: scale(0.85); transition: opacity 0.5s cubic-bezier(0.34, 1.56, 0.64, 1), transform 0.5s cubic-bezier(0.34, 1.56, 0.64, 1); } .scale-in.visible { opacity: 1; transform: scale(1); }",true,low,"startup-pitch,product-launch,kids-playful,event-conference,brand-guidelines","Scale from 85% to 100% with a spring overshoot curve (cubic-bezier with control points beyond 1.0). Creates a confident, energetic pop-in feel. Best for hero elements, icons, metric numbers, and CTA buttons. The spring curve makes it feel physical without requiring a JS animation library."
slide-left,Slide Left,entrance,".slide-left { opacity: 0; transform: translateX(-40px); transition: opacity 0.5s ease-out, transform 0.5s cubic-bezier(0.16, 1, 0.3, 1); } .slide-left.visible { opacity: 1; transform: translateX(0); }",true,low,"split-panel,editorial-stack,workshop-training,consulting-swiss,proposal-business","Horizontal entrance from left. Useful for content panels in split layouts where the left column should appear first, then the right panel slides in from the opposite direction. Combine with slide-right on the opposing panel and a 0.15s delay for a satisfying bilateral reveal."
blur-in,Blur In,entrance,".blur-in { opacity: 0; filter: blur(8px); transform: scale(1.05); transition: opacity 0.7s ease, filter 0.7s ease, transform 0.7s ease; } .blur-in.visible { opacity: 1; filter: blur(0px); transform: scale(1); }",true,low,"architecture-interior,japandi-minimal,food-culinary,portfolio-showcase,vaporwave","Combines defocus blur with slight scale-down for a dreamy focus-pull entrance effect. Popular in architectural, editorial, and atmospheric presentations. The 1.05 starting scale combined with the blur creates the illusion of depth of field being pulled into focus. Slightly slower (0.7s) for cinematic pacing."
glitch-in,Glitch In,entrance,".glitch-in { animation: glitchReveal 0.6s steps(1) forwards; } @keyframes glitchReveal { 0% { opacity: 0; clip-path: inset(40% 0 40% 0); transform: translateX(-8px); } 20% { opacity: 1; clip-path: inset(10% 0 80% 0); transform: translateX(8px); } 40% { clip-path: inset(80% 0 5% 0); transform: translateX(-4px); } 60% { clip-path: inset(30% 0 30% 0); transform: translateX(4px); } 80% { clip-path: inset(0% 0 0% 0); transform: translateX(0); } 100% { clip-path: none; transform: translateX(0); opacity: 1; } }",false,low,"terminal-hacker,cyberpunk,y2k-retro,anti-design,neon-cyber","Stepped clip-path animation that creates a horizontal scan-bar glitch effect on entrance. The steps() timing function snaps between states without interpolation for a digital artifact look. Clip-path slices reveal different horizontal bands in rapid succession. Self-contained CSS, no JS required."
flip-in,Flip In,entrance,".flip-in { perspective: 800px; } .flip-in-inner { opacity: 0; transform: rotateX(-90deg); transform-origin: top center; transition: opacity 0.5s ease, transform 0.5s cubic-bezier(0.34, 1.56, 0.64, 1); } .flip-in-inner.visible { opacity: 1; transform: rotateX(0deg); }",true,low,"kids-playful,language-learning,workshop-training,product-demo,explainer-tutorial","3D flip entrance using rotateX on a child element inside a perspective wrapper. The element appears to unfold from the top edge into its natural position. The spring cubic-bezier gives it a satisfying bounce at the end. Particularly effective for card reveals in grid layouts and flashcard-style educational slides."
floating-shapes,Floating Shapes,ambient,".floating-shape { position: absolute; border-radius: 50%; opacity: 0.15; animation: float var(--float-dur, 6s) ease-in-out infinite alternate; } @keyframes float { 0% { transform: translateY(0) rotate(0deg) scale(1); } 100% { transform: translateY(var(--float-y, -30px)) rotate(var(--float-rot, 15deg)) scale(var(--float-scale, 1.1)); } }",true,medium,"organic-flow,kids-playful,sustainability-green,explainer-tutorial,japandi-minimal","Soft, slowly floating geometric shapes (circles, blobs, rounded rectangles) that drift in alternating directions using CSS alternate animations. Each shape gets randomized --float-dur (5-9s), --float-y (-20 to -50px), --float-rot (10-25deg), and --float-scale (1.05-1.15) via JS initialization. Creates ambient movement without distraction."
pulsing-rings,Pulsing Rings,ambient,".pulsing-ring { position: absolute; border-radius: 50%; border: 1px solid var(--ring-color, rgba(0, 212, 255, 0.4)); animation: ringPulse 3s ease-out infinite; } .pulsing-ring:nth-child(2) { animation-delay: 1s; } .pulsing-ring:nth-child(3) { animation-delay: 2s; } @keyframes ringPulse { 0% { transform: scale(0.5); opacity: 0.8; } 100% { transform: scale(2.5); opacity: 0; } }",false,low,"neon-cyber,devops-pipeline,blockchain-web3,ai-ml-showcase,pulsing-tech","Three concentric rings that expand and fade in sequence, creating a radar/sonar ping effect. Each ring is offset by 1s delay to create a continuous outward pulse. Best placed around a central icon or logo on hero slides. Color controlled via --ring-color custom property. Pure CSS, no JS."
scanning-line,Scanning Line,ambient,".scanning-line-wrap { position: absolute; inset: 0; overflow: hidden; pointer-events: none; } .scanning-line { position: absolute; left: 0; right: 0; height: 2px; background: linear-gradient(90deg, transparent, var(--scan-color, rgba(0, 212, 255, 0.6)), transparent); animation: scanDown 4s linear infinite; } @keyframes scanDown { 0% { top: -2px; } 100% { top: 100%; } }",false,low,"terminal-hacker,data-science,devops-pipeline,enterprise-tech,medical-healthcare","A single horizontal line that sweeps top to bottom on a loop, simulating a radar scan or document scanner. The gradient fades to transparent at both ends. Paired well with dark backgrounds and terminal/tech aesthetics. Can be reversed (scanUp) or doubled for bidirectional effect. Pure CSS."
3d-tilt,3D Tilt,interactive,".tilt-card { transform-style: preserve-3d; transform: perspective(1000px); transition: transform 0.1s ease; will-change: transform; } .tilt-card .tilt-layer { transform: translateZ(20px); }",true,medium,"portfolio-showcase,blockchain-web3,art-deco,architecture-interior,product-demo","Mouse-tracking 3D card tilt effect. JS listens to mousemove on the card, calculates normalized cursor position (−1 to 1 on both axes), and sets CSS transform: perspective(1000px) rotateX(Ydeg) rotateY(Xdeg). Inner elements with translateZ create parallax depth layers. On mouseleave, spring back to 0,0 with a brief transition."
magnetic-hover,Magnetic Hover,interactive,".magnetic-btn { display: inline-block; transition: transform 0.3s cubic-bezier(0.34, 1.56, 0.64, 1); cursor: pointer; }",true,low,"startup-pitch,product-launch,event-conference,neo-brutalist,neon-cyber","JS-driven magnetic attraction effect where the element gently follows the cursor when the mouse is within a defined radius (typically 80-100px). On mousemove, calculate distance from element center to cursor; if within radius, translate the element proportionally (max 15-25px). On mouseleave, spring back. Best for CTA buttons and key interactive elements."
ripple-click,Ripple Click,interactive,".ripple-container { position: relative; overflow: hidden; } .ripple { position: absolute; border-radius: 50%; width: 4px; height: 4px; background: var(--ripple-color, rgba(255,255,255,0.3)); transform: scale(0); animation: rippleExpand 0.6s linear; pointer-events: none; } @keyframes rippleExpand { to { transform: scale(var(--ripple-scale, 100)); opacity: 0; } }",true,low,"saas-product,product-demo,workshop-training,modern-corporate,kids-playful","Material Design-style click ripple. On click, JS creates a .ripple div positioned at the click coordinates within the container, sets --ripple-scale based on container size, then removes the element after animation completes. Creates satisfying tactile feedback for interactive presentation elements like buttons and cards."
parallax-scroll,Parallax Scroll,interactive,".parallax-layer { will-change: transform; transition: transform 0.1s linear; } .parallax-layer[data-speed='0.5'] { /* moves at 50% of scroll speed */ } .parallax-layer[data-speed='1.5'] { /* moves at 150% of scroll speed */ }",true,medium,"architecture-interior,portfolio-showcase,food-culinary,art-deco,vaporwave","Layered depth effect where background elements move slower than foreground elements during scroll. JS maps scroll position to translateY values per layer using the data-speed multiplier. Speed < 1 creates the illusion of depth recession; speed > 1 creates a foreground zoom-past feel. Best used sparingly with 2-3 distinct depth layers."
chart-reveal,Chart Reveal,text,".chart-bar { transform-origin: bottom; transform: scaleY(0); animation: barGrow 0.8s cubic-bezier(0.34, 1.56, 0.64, 1) forwards; } .chart-line { stroke-dasharray: var(--line-length); stroke-dashoffset: var(--line-length); animation: lineTrace 1.2s ease-out forwards; } @keyframes barGrow { to { transform: scaleY(1); } } @keyframes lineTrace { to { stroke-dashoffset: 0; } }",true,low,"investor-deck,data-science,social-media-report,annual-report,financial-fintech","Two-mode chart animation: bar charts use scaleY from transform-origin bottom for a growing bar effect; line charts use SVG stroke-dashoffset animation to trace the line path. The --line-length must be set to the SVG pathLength via JS on mount. Stagger bar animations by index * 0.08s for a sequential reveal."
number-counter,Number Counter,text,".counter-number { font-variant-numeric: tabular-nums; }",true,low,"investor-deck,startup-pitch,case-study-sales,social-media-report,annual-report","JS-driven count-up animation for metric numbers. On trigger, read the target value from data-target attribute, then use requestAnimationFrame with an easeOutQuart curve to increment from 0 (or a lower starting value) to the target over ~1.5s. Handles integers, decimals, currency prefixes, and % suffixes. Tabular-nums ensures stable width during count."
progress-bar,Progress Bar,text,".progress-track { background: var(--track-color, rgba(255,255,255,0.1)); border-radius: 99px; overflow: hidden; } .progress-fill { height: 6px; border-radius: 99px; background: linear-gradient(90deg, var(--accent-1), var(--accent-2)); width: 0%; transition: width 1.2s cubic-bezier(0.16, 1, 0.3, 1); } .progress-fill.animate { width: var(--target-width); }",true,low,"workshop-training,webinar-presentation,devops-pipeline,open-source,saas-product","Animated horizontal progress bar for showing completion percentages, skill levels, or agenda progress. The fill element transitions from 0% to the --target-width value when .animate is added. Gradient fill uses accent colors. Track has a subtle transparent background. Add a counter label that updates in sync for dual reinforcement."
confetti,Confetti,ambient,".confetti-piece { position: absolute; width: 10px; height: 10px; animation: confettiFall var(--fall-dur, 3s) linear var(--fall-delay, 0s) forwards; } @keyframes confettiFall { 0% { transform: translateY(-20px) rotate(0deg); opacity: 1; } 100% { transform: translateY(110vh) rotate(var(--spin, 720deg)); opacity: 0.2; } }",true,medium,"kids-playful,product-launch,event-conference,startup-pitch,brand-guidelines","JS generates 80-150 confetti pieces with randomized colors (6 colors from the active palette), sizes (6-14px), shapes (square/circle/ribbon via border-radius), fall durations (2-4s), delays (0-2s), horizontal positions (0-100%), and spin amounts (360-1080deg). Triggered on a celebration moment like the final slide or key reveal."
